file,pitch_histogram,most_common_pitch,avg_duration,key,num_chords,composer
k_collection/lully/lully_persee_act-ii_scene-x_20c_(c)icking-archive.mid,[  0   0   0  13 141 524 315  68   0   0   0   0],60,0.93952246308514,G,52,lully
k_collection/lully/lully_persee_act-iv_scene-vi_31b_(c)icking-archive.mid,[  0   0   0  23 224 495 387 450   0   0   0   0],62,1.2628245725142495,D,107,lully
k_collection/lully/lully_persee_act-iv_scene-v_29b_(c)icking-archive.mid,[ 0  0  0  0  1 12 78 36  0  0  0  0],72,0.8254593175853018,F,11,lully
k_collection/lully/lully_trio_pour_le_coucher_35_4_(c)icking-archive.mid,[  0   0   0   6  43  52  61 149   0   0   0   0],76,0.7821543408360129,C,15,lully
k_collection/lully/lully_persee_act-ii_scene-i_11a_(c)icking-archive.mid,[ 0  0  0  1 11 21 67 92  0  0  0  0],76,2.1536458333333335,D,24,lully
k_collection/lully/lully_persee_act-v_scene-viii_39a_(c)icking-archive.mid,[  0   0   0   0  36 117 198  88   0   0   0   0],76,0.9168564920273348,A,52,lully
k_collection/lully/lully_le_ballet_d-alcidiane_2_(c)icking-archive.mid,[  0   0   0   0   0  89 238  87   0   0   0   0],65,1.0229468599033817,B-,316,lully
k_collection/lully/lully_trio_pour_le_coucher_35_2_(c)icking-archive.mid,[ 0  0  0  4 53 29 37 85  0  0  0  0],76,0.7223557692307693,C,33,lully
k_collection/lully/lully_persee_act-iii_scene-i_21b_(c)icking-archive.mid,[  0   0   0  40 399 781 710  63   0   0   0   0],65,1.052809834420472,F,212,lully
k_collection/lully/lully_persee_act-iii_scene-iii_23_(c)icking-archive.mid,[  0   0   0   4  22  78  81 109   0   0   0   0],77,0.927154195011338,F,12,lully
k_collection/lully/lully_ave_coeli_munus_supernum_(c)icking-archive.mid,[  0   0   0   0  10 233 429  94   0   0   0   0],70,1.849869451697128,F,0,lully
k_collection/lully/lully_persee_act-ii_scene-iv_14_(c)icking-archive.mid,[  0   0   0   1  17  26 117  38   0   0   0   0],72,1.3391959798994975,A,5,lully
k_collection/lully/lully_persee_act-ii_scene-v_15d_(c)icking-archive.mid,[  0   0   0   0   0   0 313  72   0   0   0   0],71,0.8389610389610389,G,51,lully
k_collection/lully/lully_le_bourgeois_gentilhomme_2_(c)icking-archive.mid,[  0   0   0   8 162 166 516 730 434   0   0   0],74,1.0131448412698412,G,4,lully
k_collection/lully/lully_persee_act-ii_scene-i_11b_(c)icking-archive.mid,[  0   0   0   0  12  26 116  16   0   0   0   0],71,0.6338235294117647,B,20,lully
k_collection/lully/lully_persee_prologue_1_(c)icking-archive.mid,[  0   0   0  20  94 116 235 405   0   0   0   0],76,0.7761494252873563,D,166,lully
k_collection/lully/lully_persee_act-ii_scene-ix_19a_(c)icking-archive.mid,[  0   0   0   3  32  64  94 130   0   0   0   0],74,0.9597523219814241,G,10,lully
k_collection/lully/lully_ballet_l-amour_medicin_6_(c)icking-archive.mid,[  0   0   0   0   0 151  74  32   0   0   0   0],62,1.1284046692607004,G,157,lully
k_collection/lully/lully_persee_act-v_scene-ii_34_(c)icking-archive.mid,[ 0  0  0  0 34 48 61 22  0  0  0  0],72,0.8651515151515151,A,22,lully
k_collection/lully/lully_persee_act-iii_scene-ii_22a_(c)icking-archive.mid,[  0   0   0   2  18  59 133  92   0   0   0   0],77,0.9210526315789473,D,26,lully
k_collection/lully/lully_persee_act-iv_scene-ii_26a_(c)icking-archive.mid,[ 0  0  0  0 48 37 85  9  0  0  0  0],74,1.020949720670391,G,12,lully
k_collection/lully/lully_le_bourgeois_gentilhomme_4_(c)icking-archive.mid,[  0   0   0   1  89 105 433 232 179   0   0   0],72,1.001924927815207,C,4,lully
k_collection/lully/lully_persee_act-iv_scene-ii_26b_(c)icking-archive.mid,[  0   0   0   0  48 202 247 114   0   0   0   0],74,0.9285324604473542,G,55,lully
k_collection/lully/lully_persee_prologue_3d_(c)icking-archive.mid,[  0   0   0   8 104 235 318 196   0   0   0   0],76,1.0733643050716215,C,63,lully
k_collection/lully/lully_opera_pieces_mademoiselle_de_la_pierre_2_(c)icking-archive.mid,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,0.0,Unknown,0,lully
k_collection/lully/lully_persee_act-i_scene-i_5b_(c)icking-archive.mid,[  0   0   0   0  30 110  58  31   0   0   0   0],57,0.9199417758369723,C,131,lully
k_collection/lully/lully_persee_act-i_scene-v_9a_(c)icking-archive.mid,[  0   0   0   6  29  31 152  35   0   0   0   0],74,1.0223978919631094,G,17,lully
k_collection/lully/lully_persee_act-ii_scene-ix_19b_(c)icking-archive.mid,[ 0  0  0  0  0  0 78 44  0  0  0  0],74,1.194672131147541,B-,16,lully
k_collection/lully/lully_opera_pieces_mademoiselle_de_la_pierre_1_(c)icking-archive.mid,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,0.0,Unknown,0,lully
k_collection/lully/lully_persee_act-iv_scene-iii_27a_(c)icking-archive.mid,[  0   0   0   0  33 123  92 105   0   0   0   0],79,1.1756373937677054,G,7,lully
k_collection/lully/lully_persee_act-iv_scene-iii_27c_(c)icking-archive.mid,[  0   0   0   0  35  49 158 107   0   0   0   0],74,0.8070678127984718,G,12,lully
k_collection/lully/lully_persee_prologue_4a_(c)icking-archive.mid,[  0   0   0   8 224 227 630 321   0   0   0   0],72,0.8811465721040188,C,86,lully
k_collection/lully/lully_opera_pieces_mademoiselle_de_la_pierre_3_(c)icking-archive.mid,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,0.0,Unknown,0,lully
k_collection/lully/lully_le_ballet_d-alcidiane_1_(c)icking-archive.mid,[ 0  0  0  0  0  0 65 54  0  0  0  0],76,0.9936974789915967,A,180,lully
k_collection/lully/lully_persee_act-v_scene-viii_39b_(c)icking-archive.mid,[  0   0   0   0   6  65 381 248   0   0   0   0],76,0.9371428571428572,A,54,lully
k_collection/lully/lully_persee_act-i_scene-i_5c_(c)icking-archive.mid,[  0   0   0   0  13  53 105  32   0   0   0   0],72,1.1543513957307059,C,10,lully
k_collection/lully/lully_persee_act-iv_scene-vi_31a_(c)icking-archive.mid,[  0   0   0   0   4  40 199 250   0   0   0   0],79,0.5818120351588911,D,36,lully
k_collection/lully/lully_persee_act-ii_scene-viii_18b_(c)icking-archive.mid,[ 0  0  0  0  4 96  0  0  0  0  0  0],55,0.73,G,16,lully
k_collection/lully/lully_persee_act-i_scene-iv_8b_(c)icking-archive.mid,[ 0  0  0  0 36 50 30  8  0  0  0  0],53,0.930779569892473,G,84,lully
k_collection/lully/lully_ballet_l-amour_medicin_4_(c)icking-archive.mid,[  0   0   0   0   6 124  54  18   0   0   0   0],57,1.381188118811881,D,128,lully
k_collection/lully/lully_cadmus_et_hermione_acte-v_scene-i_(c)icking-archive.mid,[  0   0   0   0  12 131   5   0   0   0   0   0],59,0.6402027027027027,E,5,lully
k_collection/lully/lully_persee_act-iii_scene-iv-v_24b_(c)icking-archive.mid,[  0   0   0  18  98 398 205 139   0   0   0   0],55,0.5565268065268065,F,238,lully
k_collection/lully/lully_le_bourgeois_gentilhomme_5_(c)icking-archive.mid,[  0   0   0   4 156  62 460 632 282   0   0   0],74,0.8803258145363408,G,0,lully
k_collection/lully/lully_persee_act-i_scene-iii_7_(c)icking-archive.mid,[  0   0   0   7  87 111 272 138   0   0   0   0],74,0.7516260162601625,D,51,lully
k_collection/lully/lully_persee_act-iv_scene-v_29c_(c)icking-archive.mid,[  0   0   0   0  20  99 126  47   0   0   0   0],62,0.6792237442922375,D,6,lully
k_collection/lully/lully_persee_act-i_scene-iv_8c_(c)icking-archive.mid,[ 0  0  0  0 29 56 37 12  0  0  0  0],55,0.957089552238806,G,75,lully
k_collection/lully/lully_persee_prologue_2c_(c)icking-archive.mid,[  0   0   0   5  93 322 355  81   0   0   0   0],60,0.528816199376947,A,60,lully
k_collection/lully/lully_persee_act-iv_scene-vi_30a_(c)icking-archive.mid,[  0   0   0   2  80 246  98  59   0   0   0   0],55,0.6060137457044673,B-,6,lully
k_collection/lully/lully_persee_act-i_scene-iv_8d_(c)icking-archive.mid,[  0   0   0   0  39  99 263  66   0   0   0   0],71,1.0852962169878657,G,23,lully
k_collection/lully/lully_persee_act-i_scene-v_9d_(c)icking-archive.mid,[  0   0   0   0   6  76 230 238   0   0   0   0],74,0.8718181818181818,G,36,lully
k_collection/lully/lully_bellerophon_prologue_(c)icking-archive.mid,[  0   0   0   0   0 372 480 260   0   0   0   0],74,0.7751798561151079,C,400,lully
k_collection/lully/lully_persee_prologue_4b_(c)icking-archive.mid,[  0   0   0   0 118 306 550 304   0   0   0   0],74,0.8064684402712567,C,153,lully
k_collection/lully/lully_ballet_l-amour_medicin_1_(c)icking-archive.mid,[  0   0   0   0   2 226 150  52   0   0   0   0],62,1.0906976744186045,G,193,lully
k_collection/lully/lully_persee_act-ii_scene-x_20a_(c)icking-archive.mid,[  0   0   0   0   2  45 143  92   0   0   0   0],74,1.1190898345153664,B-,21,lully
k_collection/lully/lully_persee_act-ii_scene-iii_13_(c)icking-archive.mid,[  0   0   0   0  38 107 123  38   0   0   0   0],53,0.7260348583877996,D,97,lully
k_collection/lully/lully_armide_act_2_scene_5_(c)icking-archive.mid,[  0   0   0  24 220 270 359 174   0   0   0   0],71,0.9264565425023878,E,246,lully
k_collection/lully/lully_persee_act-iii_scene-i_21a_(c)icking-archive.mid,[  0   0   0  20  68  34 232   0   0   0   0   0],69,0.4759887005649718,F,124,lully
k_collection/lully/lully_persee_act-i_scene-ii_6d_(c)icking-archive.mid,[ 0  0  0  0  0  0 67 23  0  0  0  0],71,1.0944444444444446,A,19,lully
k_collection/lully/lully_persee_act-iii_scene-ii_22c_(c)icking-archive.mid,[  0   0   0  13  84  72 104  11   0   0   0   0],50,0.8882042253521126,B,23,lully
k_collection/lully/lully_persee_act-v_scene-i_33_(c)icking-archive.mid,[ 0  0  0  8 41 33 97  8  0  0  0  0],65,1.2566844919786095,F,8,lully
k_collection/lully/lully_persee_act-v_scene-iii_35_(c)icking-archive.mid,[  0   0   0  10 223 345 218 239   0   0   0   0],76,1.0642512077294686,A,48,lully
k_collection/lully/lully_opera_pieces_mademoiselle_de_la_pierre_6_(c)icking-archive.mid,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,0.0,Unknown,0,lully
k_collection/lully/lully_opera_pieces_mademoiselle_de_la_pierre_7_(c)icking-archive.mid,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,0.0,Unknown,0,lully
k_collection/lully/lully_isis_acte-iii_scene-vi_(c)icking-archive.mid,[  0   0   0   0  88 204   0   0   0   0   0   0],55,0.7151826484018264,C,3,lully
k_collection/lully/lully_phaeton_acte-i_scene-v_(c)icking-archive.mid,[  0   0   0   0  77 232   0   0   0   0   0   0],55,0.9341963322545848,F,0,lully
k_collection/lully/lully_persee_act-v_scene-viii_38b_(c)icking-archive.mid,[  0   0   0  40 196 194 705 441   0   0   0   0],76,0.8682318104906936,A,180,lully
k_collection/lully/lully_persee_act-ii_scene-v_15a_(c)icking-archive.mid,[  0   0   0   6  77  28 342  44   0   0   0   0],71,0.7860496311200537,E,19,lully
k_collection/lully/lully_persee_act-i_scene-ii_6b_(c)icking-archive.mid,[ 0  0  0  0  0  0 77 38  0  0  0  0],76,0.9847826086956522,A,20,lully
k_collection/lully/lully_opera_pieces_mademoiselle_de_la_pierre_4_(c)icking-archive.mid,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,0.0,Unknown,0,lully
k_collection/lully/lully_persee_act-i_scene-vi_10b_(c)icking-archive.mid,[  0   0   0   0  21  99 100   9   0   0   0   0],62,0.6324599708879185,G,8,lully
k_collection/lully/lully_persee_act-iv_scene-vi_30c_(c)icking-archive.mid,[  0   0   0   1  63 182  69 121   0   0   0   0],74,1.22782874617737,D,32,lully
k_collection/lully/lully_persee_act-v_scene-v-vii_37_(c)icking-archive.mid,[  0   0   0   2 118 183 179 138   0   0   0   0],74,0.5431451612903225,C,33,lully
k_collection/lully/lully_ballet_l-amour_medicin_3_(c)icking-archive.mid,[ 0  0  0  0  0 36 20  0  0  0  0  0],57,1.0,D,60,lully
k_collection/lully/lully_persee_prologue_3c_(c)icking-archive.mid,[ 0  0  0  1 34 49  0  0  0  0  0  0],55,0.8095238095238095,C,0,lully
k_collection/lully/lully_persee_prologue_2b_(c)icking-archive.mid,[ 0  0  0  0  0 12 80 19  0  0  0  0],72,1.1644144144144144,A,15,lully
k_collection/lully/lully_persee_act-i_scene-vi_10a_(c)icking-archive.mid,[  0   0   0   0   1  15 117  57   0   0   0   0],74,0.5697368421052632,G,45,lully
k_collection/lully/lully_persee_act-iv_scene-vi_32_(c)icking-archive.mid,[  0   0   0   3 302 621 379 336   0   0   0   0],57,0.5560633759902498,D,149,lully
k_collection/scarlatti/scarlatti_sonata_k-081_(c)sankey.mid,[  0   0   0   1 117 146 522 344   0   0   0   0],71,0.8106194690265512,E,686,scarlatti
k_collection/scarlatti/scarlatti_sonata_k-129_(c)sankey.mid,[  0   0   0   5  42 213 226 101   3   0   0   0],60,0.5685028248587571,C,289,scarlatti
k_collection/scarlatti/scarlatti_sonata_k-187_(c)sankey.mid,[  0   0   0  31  77 153 314 153   7   0   0   0],72,0.4738095238095221,F,427,scarlatti
k_collection/scarlatti/scarlatti_sonata_k-088_(c)sankey.mid,[  0   0   0   7 123 176 483 285   5   0   0   0],74,0.8770466481309844,G,861,scarlatti
k_collection/scarlatti/scarlatti_sonata_k-380_(c)sankey.mid,[  0   0   0  30  27  41 144 331  61   0   0   0],78,0.6607518401682418,E,378,scarlatti
k_collection/scarlatti/scarlatti_sonata_k-126_(c)sankey.mid,[  0   0   0   8  54 171 280 147   5   0   0   0],72,0.5522556390977436,C,317,scarlatti
k_collection/scarlatti/scarlatti_sonata_k-475_(c)sankey.mid,[  0   0   0  22  41 131 189 188   7   0   0   0],70,0.516724336793541,E-,362,scarlatti
k_collection/scarlatti/scarlatti_sonata_k-463_(c)sankey.mid,[  0   0   1  46 115 165 141 117   4   0   0   0],48,0.4114318053197537,F,121,scarlatti
k_collection/scarlatti/scarlatti_sonata_k-130_(c)sankey.mid,[ 0  0  0  6 22 61 65 47  0  0  0  0],75,0.7354892205638476,F,311,scarlatti
k_collection/scarlatti/scarlatti_sonata_k-015_(c)sankey.mid,[  0   0   0   7  52 143 425 207   0   0   0   0],71,0.4841127098321328,G,129,scarlatti
k_collection/scarlatti/scarlatti_sonata_k-176_(c)sankey.mid,[  0   0   0   4  40 143 283 250  12   0   0   0],76,0.645491803278687,D,272,scarlatti
k_collection/scarlatti/scarlatti_sonata_k-264_(c)sankey.mid,[  0   0   0  12  64 148 250 194   4   0   0   0],71,0.6085069444444441,E,573,scarlatti
k_collection/scarlatti/scarlatti_sonata_k-068_(c)sankey.mid,[  0   0   0   2  33 125 148  90   0   0   0   0],63,0.654103852596315,E-,292,scarlatti
k_collection/scarlatti/scarlatti_sonata_k-549_(c)sankey.mid,[  0   0   3  36  91 125 204  98  11   0   0   0],72,0.6810446009389666,C,386,scarlatti
k_collection/scarlatti/scarlatti-d_esserciso_23_(c)icking-archive.mid,[  0   0   0   3  29  59 112  64   0   0   0   0],64,0.40980024968788986,D,648,scarlatti
k_collection/scarlatti/scarlatti_sonata_k-455_(c)sankey.mid,[ 0  0  2  1 20 70 42 26  9  0  0  0],62,0.8004901960784316,G,483,scarlatti
k_collection/scarlatti/scarlatti_sonata_k-263_(c)sankey.mid,[  0   0   0   3  82 232 495 198   4   0   0   0],71,0.5669789612097285,E,222,scarlatti
k_collection/scarlatti/scarlatti_sonata_k-338_(c)sankey.mid,[  0   0   0   6  39  99 157  83   0   0   0   0],74,0.7575954861111115,G,300,scarlatti
k_collection/scarlatti/scarlatti_sonata_k-183_(c)sankey.mid,[  0   0   0  21  49 151 273 159   9   0   0   0],72,0.5735146022155083,F,276,scarlatti
k_collection/scarlatti/scarlatti_sonata_k-529_(c)sankey.mid,[  0   0   0  39  41  82 125  45  15   0   0   0],65,0.5600384245917392,G,198,scarlatti
k_collection/scarlatti/scarlatti_sonata_k-446_(c)sankey.mid,[ 0  0  0  7  6 44 66 84  0  0  0  0],72,0.6207729468599031,F,299,scarlatti
k_collection/scarlatti/scarlatti_sonata_k-386_(c)sankey.mid,[  0   0   0  25 124 221 331 208   0   0   0   0],72,0.37669600293362626,F,25,scarlatti
k_collection/scarlatti/scarlatti_sonata_k-519_(c)sankey.mid,[  0   0   0   1  22  60 107  69   0   0   0   0],77,0.7602960102960102,C,484,scarlatti
k_collection/scarlatti/scarlatti_sonata_k-173_(c)sankey.mid,[  0   0   0  25  39 196 322 161  12   0   0   0],74,0.6112582781456931,B,205,scarlatti
k_collection/scarlatti/scarlatti_sonata_k-448_(c)sankey.mid,[  0   0   0  18  84 146 321 111   0   0   0   0],73,0.3443627450980403,A,217,scarlatti
k_collection/scarlatti/scarlatti_sonata_k-532_(c)sankey.mid,[  0   0   0  25  65  54 129  37   2   0   0   0],69,0.5574252136752137,A,495,scarlatti
k_collection/scarlatti/scarlatti-d_esserciso_15_(c)icking-archive.mid,[ 0  0  0  3 11 11 71 33  0  0  0  0],71,0.5200258397932815,E,401,scarlatti
k_collection/scarlatti/scarlatti-d_esserciso_7_(c)icking-archive.mid,[ 0  0  0 15 10 13 91 78  0  0  0  0],72,0.38929146537842196,A,576,scarlatti
k_collection/scarlatti/scarlatti_sonata_k-072_(c)sankey.mid,[  0   0   0  29 129 152 271 140   0   0   0   0],72,0.3571428571428579,C,48,scarlatti
k_collection/scarlatti/scarlatti_sonata_k-429_(c)sankey.mid,[ 0  0  0 23 27 62 71 45  3  0  0  0],76,0.6991341991341992,A,302,scarlatti
k_collection/scarlatti/scarlatti_sonata_k-499_(c)sankey.mid,[  0   0   0  70 100 127 260 231  14   0   0   0],76,0.5353283458021605,A,226,scarlatti
k_collection/scarlatti/scarlatti_sonata_k-026_(c)sankey.mid,[  0   0   2  42  92  89 622 182   0   0   0   0],69,0.4441205053449922,E,173,scarlatti
k_collection/scarlatti/scarlatti_sonata_k-073_(c)sankey.mid,[  0   0   0   2  58 124 413 178   0   0   0   0],72,0.7469892473118279,C,352,scarlatti
k_collection/scarlatti/scarlatti_sonata_k-439_(c)sankey.mid,[  0   0   2  41  58 111 214 231   7   0   0   0],74,0.5085341365461847,B-,350,scarlatti
k_collection/scarlatti/scarlatti_sonata_k-344_(c)sankey.mid,[  0   0   0  23 107  92 213 168   3   0   0   0],76,0.4650715071507157,A,120,scarlatti
k_collection/scarlatti/scarlatti_sonata_k-243_(c)sankey.mid,[  0   0   0   8  26  64 137  67   1   0   0   0],74,0.5734323432343236,C,232,scarlatti
k_collection/scarlatti/scarlatti_sonata_k-258_(c)sankey.mid,[  0   0   0  11  68 220 504 250  15   0   0   0],74,0.4644975031210967,D,104,scarlatti
k_collection/scarlatti/scarlatti_sonata_k-063_(c)sankey.mid,[  0   0   0   1  46  63 126  66   0   0   0   0],69,0.4682671081677703,D,152,scarlatti
